City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
217,Ahipara,NZ,-35.1667,173.1667,54.39,83,0,2.89,clear sky
218,Carrollton,US,32.9537,-96.8903,102.45,35,75,14.97,broken clouds
219,La Primavera,CO,5.4906,-70.4092,81.61,71,51,5.48,broken clouds
220,Upata,VE,8.0086,-62.3989,73.18,88,100,5.61,overcast clouds
221,Bushehr,IR,28.9684,50.8385,93.29,66,35,4.61,scattered clouds
222,Kamenka,RU,51.3223,42.7678,70.02,61,100,7.52,overcast clouds
223,Price,US,39.5994,-110.8107,92.46,16,0,4.61,clear sky
224,Kaitangata,NZ,-46.2817,169.8464,51.21,72,100,9.13,overcast clouds
225,Esperance,AU,-33.8667,121.9,48.04,75,92,19.26,light rain
226,Lumeje,AO,-11.55,20.7833,67.51,30,2,5.77,clear sky
227,Mar Del Plata,AR,-38.0023,-57.5575,47.08,79,20,4.61,few clouds
228,Mahebourg,MU,-20.4081,57.7,70.09,73,20,16.11,few clouds
229,Khatanga,RU,71.9667,102.5,54.14,74,90,5.01,overcast clouds
230,Panlaitan,PH,12.1191,119.8486,79.75,84,100,6.51,moderate rain
231,Iranshahr,IR,27.2025,60.6848,97.14,12,0,11.5,clear sky
232,Tecoanapa,MX,16.5167,-98.75,86.2,65,12,9.28,few clouds
233,Lompoc,US,34.6391,-120.4579,81.84,55,0,17.27,clear sky
234,Mago,RU,53.2514,140.1822,64.2,91,100,2.19,overcast clouds
235,Luksuhin,PH,14.0967,120.8808,72.3,98,100,2.59,moderate rain
236,Tura,IN,25.5198,90.2201,73.99,96,77,2.75,broken clouds
237,Marzuq,YE,14.4,46.4667,80.47,56,89,4.12,overcast clouds
238,Yulara,AU,-25.2406,130.9889,46.8,51,0,7.23,clear sky
239,Port Moresby,PG,-9.4431,147.1797,74.62,100,40,3.44,fog
240,George Town,MY,5.4112,100.3354,80.89,92,20,3.44,few clouds
241,Salalah,OM,17.0151,54.0924,78.89,94,100,3.44,overcast clouds
242,Solnechnyy,RU,50.7214,136.6319,64.49,84,19,3.4,few clouds
243,Mizur,RU,42.8531,44.0531,64.02,80,0,7.18,clear sky
244,Harper,LR,4.375,-7.7169,74.61,79,100,7.18,overcast clouds
245,Sarkand,KZ,45.41,79.9186,66.07,53,59,5.21,broken clouds
246,Maltahohe,NA,-24.8333,16.9833,53.44,26,0,3.98,clear sky
247,Port Hardy,CA,50.6996,-127.4199,62.78,67,75,11.5,broken clouds
248,Carnarvon,AU,-24.8667,113.6333,58.84,59,48,13.71,scattered clouds
249,Muisne,EC,0.6,-80.0333,75.9,83,93,9.24,overcast clouds
250,Oromocto,CA,45.8351,-66.4792,86.14,64,75,11.01,broken clouds
251,Porto Walter,BR,-8.2686,-72.7439,78.73,78,100,3.33,light rain
252,Qujing,CN,25.4833,103.7833,59.77,95,79,2.44,broken clouds
253,Norman Wells,CA,65.282,-126.8329,73.44,35,40,4.61,scattered clouds
254,Peniche,PT,39.3558,-9.3811,68.29,91,94,18.92,overcast clouds
255,Nabire,ID,-3.3667,135.4833,75.92,91,85,2.93,overcast clouds
256,Torbay,CA,47.6666,-52.7314,77.76,71,75,10.36,broken clouds
257,Wad Madani,SD,14.4012,33.5199,85.06,55,43,7.36,scattered clouds
258,Rio Grande,BR,-32.035,-52.0986,53.71,95,100,23.85,light rain
259,Noumea,NC,-22.2763,166.4572,75.0,99,35,8.61,scattered clouds
260,Athabasca,CA,54.7169,-113.2854,59.41,91,100,10.94,overcast clouds
261,Bend,US,44.0582,-121.3153,87.08,18,0,5.01,clear sky
262,Mitu,CO,1.1983,-70.1733,77.52,93,39,1.83,scattered clouds
263,Aripuana,BR,-9.1667,-60.6333,86.67,40,73,1.5,broken clouds
264,Bakuriani,GE,41.7497,43.5325,57.0,93,0,4.63,clear sky
265,Iralaya,HN,15.0,-83.2333,80.01,80,100,9.44,overcast clouds
266,Keti Bandar,PK,24.1447,67.4497,81.82,84,84,10.22,broken clouds
267,Da Lat,VN,11.9465,108.4419,60.08,99,100,2.93,overcast clouds
268,Kahului,US,20.8947,-156.47,86.02,54,40,13.8,scattered clouds
269,Vilhena,BR,-12.7406,-60.1458,88.02,40,20,8.05,few clouds
270,Koumac,NC,-20.5667,164.2833,75.85,78,0,3.6,clear sky
271,Senno,RU,59.5336,33.9167,56.26,71,76,3.4,broken clouds
272,Saint-Pierre,RE,-21.3393,55.4781,65.28,78,0,4.61,clear sky
273,Sasina,BA,44.7987,16.739,71.58,56,0,3.69,clear sky
274,Senanga,ZM,-16.1167,23.2667,62.4,39,0,6.24,clear sky
275,Peterhead,GB,57.5058,-1.7981,52.45,77,63,3.58,broken clouds
276,Souillac,MU,-20.5167,57.5167,70.18,73,20,16.11,few clouds
277,Moron,AR,-34.6534,-58.6198,51.55,66,100,4.5,overcast clouds
278,Soledad,CO,10.9184,-74.7646,86.13,70,20,9.22,few clouds
279,San Patricio,US,28.017,-97.5169,99.16,43,18,18.97,few clouds
280,Turka,UA,49.1541,23.0297,66.15,84,4,2.15,clear sky
281,Verkhnyaya Inta,RU,65.9811,60.3094,54.95,71,43,8.39,scattered clouds
282,Nikolskoye,RU,59.7035,30.7861,66.09,70,17,4.59,few clouds
283,Pisco,PE,-13.7,-76.2167,64.45,72,0,11.5,clear sky
284,Kovdor,RU,67.5662,30.4758,57.27,94,85,6.82,overcast clouds
285,Lexington,US,37.9887,-84.4777,87.69,76,0,4.61,clear sky
286,Wladyslawowo,PL,54.7909,18.4009,78.94,57,33,14.99,scattered clouds
287,Chapais,CA,49.7834,-74.8492,64.18,37,47,7.45,scattered clouds
288,Itaituba,BR,-4.2761,-55.9836,91.56,55,20,4.61,few clouds
289,Sessa Aurunca,IT,41.2408,13.9328,80.82,68,23,3.62,few clouds
290,Jardim,BR,-21.4803,-56.1381,80.74,29,70,7.0,broken clouds
291,Naze,JP,28.3667,129.4833,77.92,84,99,7.9,overcast clouds
292,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,77.97,89,72,2.26,broken clouds
293,El Real De Santa Maria,PA,8.109,-77.7325,77.72,96,99,2.26,overcast clouds
294,Port Lincoln,AU,-34.7333,135.8667,52.57,80,55,14.63,broken clouds
295,Khorinsk,RU,52.1657,109.7726,56.43,74,93,2.98,overcast clouds
296,Salta,AR,-24.7859,-65.4117,63.19,47,75,12.66,broken clouds
297,Sakakah,SA,29.9697,40.2064,103.57,29,43,2.91,scattered clouds
298,Nanortalik,GL,60.1432,-45.2371,46.38,87,100,4.68,overcast clouds
299,Smithers,CA,54.7804,-127.1743,61.12,67,75,4.61,broken clouds
300,Clyde River,CA,70.4692,-68.5914,44.83,87,75,14.97,broken clouds
301,Ixtapa,MX,20.7,-105.2,90.23,66,40,11.5,scattered clouds
302,Panaba,MX,21.2833,-88.2667,88.59,52,89,13.98,overcast clouds
303,Chirongui,YT,-12.9319,45.1483,75.13,72,2,6.06,clear sky
304,Cabo San Lucas,MX,22.8909,-109.9124,94.6,61,0,11.5,clear sky
305,Oktyabrskiy,RU,54.4815,53.471,67.68,62,98,2.39,overcast clouds
306,Porto Novo,BJ,6.4965,2.6036,76.82,78,99,6.67,overcast clouds
307,Coihaique,CL,-45.5752,-72.0662,40.95,52,20,3.44,few clouds
308,Inhambane,MZ,-23.865,35.3833,66.34,84,0,7.61,clear sky
309,Tiznit,MA,29.5833,-9.5,84.47,27,3,0.78,clear sky
310,Parauna,BR,-16.9478,-50.4486,77.68,28,5,3.85,clear sky
311,San Quintin,MX,30.4833,-115.95,75.42,73,19,16.64,few clouds
312,Marsa Matruh,EG,31.3525,27.2453,78.37,71,0,6.2,clear sky
313,Aklavik,CA,68.2191,-135.0107,75.2,53,75,8.05,haze
314,Hasaki,JP,35.7333,140.8333,72.28,90,100,15.7,overcast clouds
315,Warkworth,NZ,-36.4,174.6667,56.1,78,1,3.96,clear sky
316,Filingue,NE,14.3521,3.3168,80.17,68,27,12.59,scattered clouds
317,Churapcha,RU,62.0025,132.4325,66.87,72,29,8.34,scattered clouds
318,Neiafu,TO,-18.65,-173.9833,79.48,73,75,12.66,broken clouds
319,Todos Santos,MX,23.45,-110.2167,83.44,78,7,6.98,clear sky
320,Qaanaaq,GL,77.484,-69.3632,45.43,56,6,3.8,clear sky
321,Belyy Yar,RU,53.6039,91.3903,53.85,82,0,0.0,clear sky
322,Auburn,US,47.3073,-122.2284,73.24,64,100,16.11,overcast clouds
323,Schwyz,CH,47.0279,8.6561,77.95,59,93,7.18,overcast clouds
324,Ranong,TH,9.9658,98.6348,79.38,86,100,9.22,overcast clouds
325,Pacific Grove,US,36.6177,-121.9166,81.39,77,0,10.0,clear sky
326,Mutoko,ZW,-17.397,32.2268,55.53,57,0,4.32,clear sky
327,Kupang,ID,-10.1667,123.5833,71.2,86,40,7.09,scattered clouds
328,Bucerias,MX,20.75,-105.3333,90.99,66,40,11.5,scattered clouds
329,Sekoma,BW,-24.4,23.8833,57.33,46,0,7.45,clear sky
330,Vrangel,RU,42.7297,133.0839,71.96,97,100,4.54,overcast clouds
331,Gualaquiza,EC,-3.4,-78.55,68.58,96,75,0.98,moderate rain
332,Wahiawa,US,21.5028,-158.0236,82.15,57,40,9.22,scattered clouds
333,Kayes,ML,14.0,-11.0,77.18,78,100,1.83,overcast clouds
334,Freeport,US,40.6576,-73.5832,92.3,60,0,24.16,clear sky
335,De Aar,ZA,-30.6497,24.0123,54.63,54,0,5.44,clear sky
336,Tyukhtet,RU,56.5389,89.3011,46.26,96,99,3.67,overcast clouds
337,Prado,BR,-17.3411,-39.2208,70.41,77,43,7.4,scattered clouds
338,Mangochi,MW,-14.4782,35.2645,68.67,55,49,2.95,scattered clouds
339,La Cruz,MX,23.9167,-106.9,89.69,61,89,10.04,overcast clouds
340,Maniitsoq,GL,65.4167,-52.9,41.95,96,100,25.28,light rain
341,Itoman,JP,26.1247,127.6694,83.17,87,75,3.44,broken clouds
342,Myitkyina,MM,25.3833,97.4,74.59,99,97,0.63,light rain
343,Saint-Paul,RE,-21.0096,55.2707,66.29,77,93,3.42,light rain
344,Beisfjord,NO,68.3751,17.5988,53.65,91,47,3.96,scattered clouds
345,Tomakomai,JP,42.6369,141.6033,66.34,82,75,11.5,broken clouds
346,Kitimat,CA,54.0524,-128.6534,66.58,58,80,5.01,broken clouds
347,Fort Morgan,US,40.2503,-103.8,97.45,24,20,12.75,few clouds
348,Caldwell,US,43.6629,-116.6874,101.77,16,0,5.75,haze
