City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
413,Oga,IT,66.88,broken clouds,46.4631,10.347,QC Terme Bagni di Bormio Bagni Nuovi
414,Simeykyne,UA,66.18,broken clouds,48.3264,39.5337,
419,Hartlepool,GB,57.45,broken clouds,54.6861,-1.2125,The Marine Hotel
423,Atasu,KZ,63.21,overcast clouds,48.6814,71.6433,Dostyk
426,Port Hedland,AU,53.65,clear sky,-20.3167,118.5667,The Esplanade Hotel
428,Hofn,IS,50.27,scattered clouds,64.2539,-15.2082,Hótel Höfn
431,Mayumba,GA,68.41,scattered clouds,-3.432,10.6554,LIKWALE LODGE
438,Nokaneng,BW,65.64,clear sky,-19.6667,22.2667,
439,Tuatapere,NZ,54.66,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
441,Chuy,UY,51.31,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
443,Ambilobe,MG,64.11,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
446,Ayan,RU,55.92,light rain,56.45,138.1667,Gostinitsa
447,Leirvik,NO,54.63,few clouds,59.7798,5.5005,Stord Hotel
450,Kamina,CD,65.43,clear sky,-8.7386,24.9906,LEANIF HOTEL RESTAURANT
452,Bereda,ES,66.42,overcast clouds,43.2686,-7.5406,Pazo de Verdes
455,Te Anau,NZ,50.52,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
460,Channel-Port Aux Basques,CA,68.49,overcast clouds,47.5702,-59.1367,St. Christopher's Hotel
461,Matagami,CA,66.31,scattered clouds,49.7502,-77.6328,Motel Le Caribou
467,Tromso,NO,51.82,clear sky,69.6496,18.957,"Radisson Blu Hotel, Tromsø"
468,Kondinskoye,RU,59.54,few clouds,59.6481,67.41,Gostinitsa
469,Shimanovsk,RU,68.49,light rain,52.0,127.7,Гостиница Домашняя
471,Kargopol,RU,59.49,broken clouds,61.5071,38.9456,Moroshka Inn
472,Ust-Kuyga,RU,52.38,clear sky,70.0167,135.6,
474,Havoysund,NO,57.43,light rain,70.9963,24.6622,Arctic View Glamping & Restaurant
475,Skjervoy,NO,55.4,broken clouds,70.0311,20.9714,Skjervøy fiskecamp AS
476,Khandyga,RU,68.68,broken clouds,62.6667,135.6,Apel'sin
479,Honningsvag,NO,56.95,scattered clouds,70.9821,25.9704,Nordkapp Vandrerhjem
480,Victor Harbor,AU,50.68,light rain,-35.5667,138.6167,McCracken Country Club
481,Ola,RU,59.14,overcast clouds,59.5833,151.2833,
483,Igrim,RU,60.91,overcast clouds,63.1906,64.4162,Obshchezhitiye Uchebno-Proizvodstvennogo Tsentra
486,Turangi,NZ,50.23,clear sky,-39.0,175.9333,
488,Ulverstone,AU,54.19,light rain,-41.15,146.1667,Westella Colonial Bed & Breakfast
489,Rensvik,NO,52.07,overcast clouds,63.1,7.8167,Thon Hotels Storgata
490,Ballina,AU,63.01,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
492,Fort Nelson,CA,63.99,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
494,Povenets,RU,60.73,scattered clouds,62.8487,34.8262,Eko Otel' Bol'shaya Medveditsa
496,Valdivia,CL,50.09,overcast clouds,-39.8142,-73.2459,Hostal Entre Rios
498,Caetite,BR,69.6,clear sky,-14.0694,-42.475,Hotel Porto do Sol
502,Ploemeur,FR,66.81,clear sky,47.7333,-3.4333,Best Western Plus Hotel Les Rives Du Ter
503,Provideniya,RU,51.91,overcast clouds,64.3833,-173.3,
505,Svetlogorsk,BY,63.54,clear sky,52.6333,29.7333,Hotel Svetlogorsk JBIK
514,Srednekolymsk,RU,52.16,few clouds,67.45,153.6833,
523,Beloha,MG,66.69,broken clouds,-25.1667,45.05,
525,Benguela,AO,65.26,clear sky,-12.5763,13.4055,Hotel Praia Morena
528,Taltal,CL,60.66,broken clouds,-25.4,-70.4833,Residencial Karime
533,Porto Belo,BR,68.25,moderate rain,-27.1578,-48.5531,Costa Verde Beach Hotel
535,Beboto,TD,69.76,overcast clouds,8.2668,16.939,
536,Sambava,MG,65.79,light rain,-14.2667,50.1667,Melrose
547,Kaluga,RU,64.0,overcast clouds,54.5,35.5,
549,Rocha,UY,50.07,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
553,Kangundo,KE,57.54,overcast clouds,-1.2979,37.3471,Kmercy Suites
558,Caravelas,BR,69.17,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
560,Boralday,KZ,60.66,scattered clouds,43.3578,76.8594,"Zhetysu, Too Zhetysu"
561,Sarahan,IN,63.95,broken clouds,31.5167,77.8,Hotel Monal
564,Inta,RU,55.33,scattered clouds,66.0317,60.1659,Apartments in Inta city
565,Areosa,PT,68.11,clear sky,41.7178,-8.8571,Hotel Flôr de Sal
568,Bridgwater,GB,62.91,clear sky,51.1284,-3.0036,Premier Inn Bridgwater North (A38) hotel
576,Acurenam,GQ,67.37,overcast clouds,1.0322,10.6488,
577,Ginir,ET,61.39,overcast clouds,7.1333,40.7,Sura Dare Village
578,Mananara,MG,65.59,light rain,-16.1667,49.7667,Chez Roger
579,Chimbote,PE,64.6,broken clouds,-9.0853,-78.5783,Hotel Briliá
580,Mehamn,NO,57.15,scattered clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
581,Faya,SA,66.31,light rain,18.3851,42.4509,املاك خالد الشعشوع
587,Andenes,NO,57.92,broken clouds,69.3143,16.1194,Hotell Marena
588,Liwale,TZ,60.71,clear sky,-9.7667,37.9333,Tumaini Tulivu Lodge
590,Richards Bay,ZA,65.43,few clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
591,Scarborough,GB,60.37,broken clouds,54.2797,-0.4044,The Grand Hotel Scarborough
601,Morondava,MG,69.08,clear sky,-20.2833,44.2833,La Case Bambou
602,Havre-Saint-Pierre,CA,61.16,overcast clouds,50.2334,-63.5986,Auberge Niapiskau
604,Raga,SS,68.88,broken clouds,8.4596,25.678,
608,Kaeo,NZ,54.32,clear sky,-35.1,173.7833,Bushido Lodge
613,Andrelandia,BR,62.96,broken clouds,-21.7397,-44.3092,Hotel Real
614,Hamina,FI,67.28,few clouds,60.5697,27.1979,SpaHotel Hamina
618,Kuytun,RU,50.4,overcast clouds,54.3419,101.5036,Gostinitsa Tsentral'naya
622,Gawler,AU,53.11,light rain,-34.6,138.7333,Eagle Foundry Bed & Breakfast
624,Tigil,RU,58.1,overcast clouds,57.8,158.6667,Tigil'
627,Ulladulla,AU,60.01,clear sky,-35.35,150.4667,Sandpiper Motel
628,Thohoyandou,ZA,64.54,clear sky,-22.9456,30.485,Masili Guesthouse & Conference
629,Hovd,MN,63.16,broken clouds,48.0056,91.6419,Hotel Khovd
630,Omsukchan,RU,61.21,overcast clouds,62.5333,155.8,
638,Milici,BA,61.97,clear sky,44.1711,19.0903,Хотелски апартмани Боксит
643,Arman,RU,59.02,overcast clouds,59.7,150.1667,
644,Skibbereen,IE,55.11,overcast clouds,51.55,-9.2667,The West Cork Hotel
645,Grindavik,IS,53.55,clear sky,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
646,Sobolevo,RU,64.11,broken clouds,54.4299,31.8996,
647,Borovoy,RU,51.08,clear sky,55.4333,86.0833,Tsimus
652,Fort William,GB,51.31,broken clouds,56.8165,-5.1121,Alexandra Hotel
653,Nemuro,JP,58.21,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
654,Poltavka,RU,59.77,broken clouds,54.3663,71.7632,
655,Sistranda,NO,51.76,overcast clouds,63.7256,8.834,Hotell Frøya
656,Nome,US,52.16,mist,64.5011,-165.4064,Dredge 7 Inn
659,Sawtell,AU,62.62,shower rain,-30.3833,153.1,The Bungalow Sawtell
662,Adet,ET,57.36,light rain,11.2644,37.4888,Shama Hotel
663,Santiago,CL,61.54,haze,-33.4569,-70.6483,Hotel Panamericano
669,Quatre Cocos,MU,69.91,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
671,Clarence Town,AU,60.85,overcast clouds,-32.5833,151.7833,River Downs Cottage
674,Tsiroanomandidy,MG,59.68,scattered clouds,-18.7667,46.0333,Hotel Ravinala
675,Lavumisa,SZ,63.12,clear sky,-27.31,31.892,ROADSIDE B&B
679,Vetlanda,SE,69.15,light rain,57.4289,15.0776,Best Western Vetlanda Stadshotell
681,Faranah,GN,69.84,light rain,10.0404,-10.7434,Chez mon oncle
